Unique Key Code,Country,Supplier Code,Supplier Name,Parent Company,VBS Code,VBS Description,GPO Category,Category,Main Category,ACT/LE Spend $ Jan,ACT/LE Spend $ Feb,ACT/LE Spend $ Mar,ACT/LE Spend $ Apr,ACT/LE Spend $ May,ACT/LE Spend $ Jun,ACT/LE Spend $ Jul,ACT/LE Spend $ Aug,ACT/LE Spend $ Sep,ACT/LE Spend $ Oct,ACT/LE Spend $ Nov,ACT/LE Spend $ Dec,ACT/LE Spend $ FY,ACT/LE WAPT Jan,ACT/LE WAPT Feb,ACT/LE WAPT Mar,ACT/LE WAPT Apr,ACT/LE WAPT May,ACT/LE WAPT Jun,ACT/LE WAPT Jul,ACT/LE WAPT Aug,ACT/LE WAPT Sep,ACT/LE WAPT Oct,ACT/LE WAPT Nov,ACT/LE WAPT Dec,Budget WAPT Jan Round 1,Budget WAPT Feb Round 1,Budget WAPT Mar Round 1,Budget WAPT Apr Round 1,Budget WAPT May Round 1,Budget WAPT Jun Round 1,Budget WAPT Jul Round 1,Budget WAPT Aug Round 1,Budget WAPT Sep Round 1,Budget WAPT Oct Round 1,Budget WAPT Nov Round 1,Budget WAPT Dec Round 1,Final BU Spend Jan Round 1,Final BU Spend Feb Round 1,Final BU Spend Mar Round 1,Final BU Spend Apr Round 1,Final BU Spend May Round 1,Final BU Spend Jun Round 1,Final BU Spend Jul Round 1,Final BU Spend Aug Round 1,Final BU Spend Sep Round 1,Final BU Spend Oct Round 1,Final BU Spend Nov Round 1,Final BU Spend Dec Round 1
Bolivia300435,Bolivia,300435,CIC International Analytic S.R.L.,CIC INTERNATIONAL ANALYTIC,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,144555,145689,260525,184319,220810,255790,1211688,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,0,0,0,0,0,0,144555,145689,260525,184319,220810,255790
Bolivia300864,Bolivia,300864,ENERQUIMICA S.A.C.,,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,27525,13896,102246,12653,6258,11526,14594.28,13439.3,13282.5,14858.61,11904,21485.82,263668.51,155.2016729,183.2518011,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,27525,13896,102246,12653,6258,11526,14594.28,13439.3,13282.5,14858.61,11904,21485.82
Bolivia301463,Bolivia,301463,KHS INDUSTRIA DE MAQUINAS LTDA,KHS INDUSTRIA DE MAQUINAS LTDA,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,22403,914,22988,23792,2315,7228,24569.42,22677.74,22420.92,25002.34,20163.15,6204.782478,200678.3525,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,22403,914,22988,23792,2315,7228,24569.42,22677.74,22420.92,25002.34,20163.15,6204.782478
Bolivia301479,Bolivia,301479,KRONES DO BRASIL LTDA,KRONES,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.06,195,195,195,195,195,195,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01
Bolivia302314,Bolivia,302314,SEW EURODRIVE DEL PERU S.A.C.,BV Beteiligung GmbH & Co KG,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,0,924,1274,2322,0,0,397.42,368.07,364.08,404.13,329.05,546,6928.75,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0,924,1274,2322,0,0,397.42,368.07,364.08,404.13,329.05,546
Bolivia302323,Bolivia,302323,SIDEL BLOWING,SIDEL,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,25697,3970,220,0,0,10967,1469.83,1284.13,1258.92,1512.32,1037.29,3454.4,50870.89,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,25697,3970,220,0,0,10967,1469.83,1284.13,1258.92,1512.32,1037.29,3454.4
Bolivia302703,Bolivia,302703,LIESS MAQUINAS E EQUIPAMENTOS LTDA,AFAM EMPREENDIMENTOS E NEGOCIOS COMERCIAIS LTDA,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,0,0,1860,10441,0,99,250000,365.43,361.48,401.24,326.7,542.1,264396.95,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,0,0,1860,10441,0,99,250000,365.43,361.48,401.24,326.7,542.1
Bolivia302841,Bolivia,302841,SERVICOS BRASILEIROS DE,,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,6.00E-04,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,0,0,0,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04
Bolivia310101,Bolivia,310101,ZEGLA IND DE MAQ PARA BEB LTDA,EVS PARTICIPACOES LTDA,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,0,0,16438,0,0,19977,6976.52,6384.14,6303.72,7112.09,5596.69,11019.93,79808.09,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0,0,16438,0,0,19977,6976.52,6384.14,6303.72,7112.09,5596.69,11019.93
Bolivia320342,Bolivia,320342,STOLLE MACHINERY DO BRASIL INDUSTRI,,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,0,0,4203,0,695,1556,891.17,825.35,816.42,906.23,737.86,1224.36,11855.39,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,0,0,4203,0,695,1556,891.17,825.35,816.42,906.23,737.86,1224.36
Bolivia329693,Bolivia,329693,Krones AG,KRONES,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,0,8314,0,21692,0,5859,1296.95,1124.02,1100.55,1336.52,894.16,3216.88,44834.08,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,153.75,0,8314,0,21692,0,5859,1296.95,1124.02,1100.55,1336.52,894.16,3216.88
Bolivia339666,Bolivia,339666,SMI S.P.A.,SMIGROUP,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,6.00E-04,138.755212,138.755212,138.755212,138.755212,138.755212,138.755212,138.76,138.76,138.76,138.76,138.76,138.76,138.76,138.76,138.76,138.76,138.76,138.76,138.76,138.76,138.76,138.76,138.76,138.76,0,0,0,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04
Bolivia339668,Bolivia,339668,FERRUM Packaging  AG,FERRUM,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,0,0,49023,0,70574,307,5079.33,4627.06,4565.66,5182.83,4025.87,8413.42,151798.17,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,0,0,49023,0,70574,307,5079.33,4627.06,4565.66,5182.83,4025.87,8413.42
Bolivia339681,Bolivia,339681,MANUEL SANMARTIN S.A.,,1003,Industrial Equip & Machinery_1003,MAINTENANCE,CAPEX,INDIRECT,0,0,1060,0,0,18119,7532.2,6898.78,6812.79,7677.17,6056.78,11783.37,65940.09,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,0,0,1060,0,0,18119,7532.2,6898.78,6812.79,7677.17,6056.78,11783.37
